,Application/Permit Number,Category
507,6592365,SINGLE FAMILY / DUPLEX
508,6609950,SINGLE FAMILY / DUPLEX
509,6402385,SINGLE FAMILY / DUPLEX
510,6252751,SINGLE FAMILY / DUPLEX
511,6275949,SINGLE FAMILY / DUPLEX
512,6487493,SINGLE FAMILY / DUPLEX
513,6455923,COMMERCIAL
514,6373636,SINGLE FAMILY / DUPLEX
515,6597741,SINGLE FAMILY / DUPLEX
516,6404344,SINGLE FAMILY / DUPLEX
517,6426151,COMMERCIAL
518,6473250,COMMERCIAL
519,6382790,COMMERCIAL
520,6537953,SINGLE FAMILY / DUPLEX
521,6503210,SINGLE FAMILY / DUPLEX
522,6548957,SINGLE FAMILY / DUPLEX
523,6597683,SINGLE FAMILY / DUPLEX
524,6519195,COMMERCIAL
525,6444240,SINGLE FAMILY / DUPLEX
526,6446963,SINGLE FAMILY / DUPLEX
527,6590482,COMMERCIAL
528,6622706,SINGLE FAMILY / DUPLEX
529,6481277,SINGLE FAMILY / DUPLEX
530,6588829,SINGLE FAMILY / DUPLEX
531,6632749,SINGLE FAMILY / DUPLEX
532,6563125,SINGLE FAMILY / DUPLEX
533,6526638,SINGLE FAMILY / DUPLEX
534,6390876,SINGLE FAMILY / DUPLEX
535,6434274,SINGLE FAMILY / DUPLEX
536,6561324,SINGLE FAMILY / DUPLEX
537,6469071,SINGLE FAMILY / DUPLEX
538,6194824,SINGLE FAMILY / DUPLEX
539,6626330,MULTIFAMILY
540,6483453,SINGLE FAMILY / DUPLEX
541,6396281,SINGLE FAMILY / DUPLEX
542,6579894,SINGLE FAMILY / DUPLEX
543,6552009,SINGLE FAMILY / DUPLEX
544,6381138,MULTIFAMILY
545,6622678,SINGLE FAMILY / DUPLEX
546,6394370,SINGLE FAMILY / DUPLEX
547,6628390,SINGLE FAMILY / DUPLEX
548,6628873,SINGLE FAMILY / DUPLEX
549,6433542,SINGLE FAMILY / DUPLEX
550,6628903,SINGLE FAMILY / DUPLEX
551,6448222,SINGLE FAMILY / DUPLEX
552,6482763,INSTITUTIONAL
553,6488743,SINGLE FAMILY / DUPLEX
554,6402482,SINGLE FAMILY / DUPLEX
555,6388763,SINGLE FAMILY / DUPLEX
556,6450047,SINGLE FAMILY / DUPLEX
557,6104574,SINGLE FAMILY / DUPLEX
558,6382870,SINGLE FAMILY / DUPLEX
559,6577654,SINGLE FAMILY / DUPLEX
560,6603832,COMMERCIAL
561,6614295,COMMERCIAL
562,6375547,SINGLE FAMILY / DUPLEX
563,6610472,SINGLE FAMILY / DUPLEX
564,6351908,SINGLE FAMILY / DUPLEX
565,6623910,SINGLE FAMILY / DUPLEX
566,6157679,SINGLE FAMILY / DUPLEX
567,6476127,SINGLE FAMILY / DUPLEX
568,6401509,SINGLE FAMILY / DUPLEX
569,6487841,SINGLE FAMILY / DUPLEX
570,6404992,SINGLE FAMILY / DUPLEX
571,6504712,SINGLE FAMILY / DUPLEX
572,6605499,SINGLE FAMILY / DUPLEX
573,6468756,SINGLE FAMILY / DUPLEX
574,6327888,COMMERCIAL
575,6416449,SINGLE FAMILY / DUPLEX
576,6640165,SINGLE FAMILY / DUPLEX
577,6098355,SINGLE FAMILY / DUPLEX
578,6486833,SINGLE FAMILY / DUPLEX
579,6593518,SINGLE FAMILY / DUPLEX
580,6481228,SINGLE FAMILY / DUPLEX
581,6433780,SINGLE FAMILY / DUPLEX
582,6456839,MULTIFAMILY
583,6385240,SINGLE FAMILY / DUPLEX
584,6497571,SINGLE FAMILY / DUPLEX
585,6501681,SINGLE FAMILY / DUPLEX
586,6382287,SINGLE FAMILY / DUPLEX
587,6479169,SINGLE FAMILY / DUPLEX
588,6593507,SINGLE FAMILY / DUPLEX
589,6437092,SINGLE FAMILY / DUPLEX
590,6626618,SINGLE FAMILY / DUPLEX
591,6464201,SINGLE FAMILY / DUPLEX
592,6464126,SINGLE FAMILY / DUPLEX
593,6569978,SINGLE FAMILY / DUPLEX
594,6618495,SINGLE FAMILY / DUPLEX
595,6550121,SINGLE FAMILY / DUPLEX
596,6477686,SINGLE FAMILY / DUPLEX
597,6603319,SINGLE FAMILY / DUPLEX
598,6121799,COMMERCIAL
599,6547412,SINGLE FAMILY / DUPLEX
600,6486944,SINGLE FAMILY / DUPLEX
601,6441755,SINGLE FAMILY / DUPLEX
602,6365894,SINGLE FAMILY / DUPLEX
603,6393642,COMMERCIAL
604,6591136,MULTIFAMILY
605,6414315,SINGLE FAMILY / DUPLEX
606,6403068,SINGLE FAMILY / DUPLEX
607,6635200,MULTIFAMILY
608,6430374,COMMERCIAL
609,6442993,SINGLE FAMILY / DUPLEX
610,6487531,SINGLE FAMILY / DUPLEX
611,6546059,SINGLE FAMILY / DUPLEX
612,6483131,SINGLE FAMILY / DUPLEX
613,6617123,SINGLE FAMILY / DUPLEX
614,6412940,SINGLE FAMILY / DUPLEX
615,6545604,COMMERCIAL
616,6424240,SINGLE FAMILY / DUPLEX
617,6327675,SINGLE FAMILY / DUPLEX
618,6559948,SINGLE FAMILY / DUPLEX
